"","level","n","prop","cum_prop"
"1","OTHER",2512,0.120277711276035,0.120277711276035
"2","41401",1098,0.0525736174287766,0.172851328704812
"3","0389",986,0.0472109169260235,0.220062245630836
"4","41071",549,0.0262868087143883,0.246349054345224
"5","4241",534,0.0255685898970553,0.271917644242279
"6","431",444,0.0212592769930572,0.293176921235336
"7","51881",399,0.0191046205410582,0.312281541776395
"8","486",319,0.0152741201819488,0.327555661958343
"9","5070",270,0.0129279387119943,0.340483600670338
"10","430",228,0.0109169260234618,0.351400526693799
"11","42823",223,0.0106775197510175,0.362078046444817
"12","5849",207,0.0099114196791956,0.371989466124012
"13","4240",202,0.00967201340675126,0.381661479530764
"14","42833",199,0.00952836964328465,0.391189849174048
"15","1983",198,0.00948048838879579,0.400670337562844
